val_loss,epoch,val_recall,val_accuracy,val_precision,val_classifier_loss,val_f1,total_act,total_macs,total_weights,est_act,val_error,step,lr-SGD,train_loss,train_classifier_loss,train_recall,train_error,train_accuracy,train_f1,train_precision,test_recall,test_precision,test_error,test_f1,test_loss,test_accuracy,test_classifier_loss
2.3037338256835938,0,0.10401449352502823,0.105712890625,0.03840377926826477,2.3037338256835938,0.051894545555114746,563620.0,7272192.0,1512072.0,36864.0,0.894287109375,20,,,,,,,,,,,,,,,
2.2694246768951416,1,0.12797626852989197,0.1328125,0.18665283918380737,2.2694246768951416,0.07061900943517685,563620.0,7272192.0,1512072.0,36864.0,0.8671875,41,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,0.028960915540557686,,,,,,,,,,,,,,
,2,,,,,,,,,,,49,,2.247076988220215,2.247076988220215,0.15666723251342773,0.8486328125,0.1513671875,0.12048771977424622,0.15921828150749207,,,,,,,
2.1010642051696777,2,0.2069743424654007,0.2119140625,0.20161204040050507,2.1010642051696777,0.15153971314430237,563620.0,7272192.0,1512072.0,36864.0,0.7880859375,62,,,,,,,,,,,,,,,
2.1036720275878906,3,0.23530367016792297,0.235107421875,0.24428798258304596,2.1036720275878906,0.1718749701976776,563620.0,7272192.0,1512072.0,36864.0,0.764892578125,83,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,0.07704912182095291,,,,,,,,,,,,,,
,4,,,,,,,,,,,99,,1.929970145225525,1.929970145225525,0.2475288212299347,0.748046875,0.251953125,0.2123020589351654,0.2545472979545593,,,,,,,
1.8665063381195068,4,0.2890695333480835,0.289794921875,0.28429752588272095,1.8665063381195068,0.24436761438846588,563620.0,7272192.0,1512072.0,36864.0,0.710205078125,104,,,,,,,,,,,,,,,
1.774017095565796,5,0.32816755771636963,0.330322265625,0.3400198221206665,1.774017095565796,0.30482253432273865,563620.0,7272192.0,1512072.0,36864.0,0.669677734375,125,,,,,,,,,,,,,,,
1.6634613275527954,6,0.3613736629486084,0.363525390625,0.36954426765441895,1.6634613275527954,0.3507174551486969,563620.0,7272192.0,1512072.0,36864.0,0.636474609375,146,,,,,,,,,,,,,,,
,,,,,,,,,,,,149,0.14448645965464105,,,,,,,,,,,,,,
,7,,,,,,,,,,,149,,1.7788995504379272,1.7788995504379272,0.328300416469574,0.67529296875,0.32470703125,0.31867527961730957,0.33277586102485657,,,,,,,
1.5757635831832886,7,0.40683937072753906,0.4072265625,0.4058629274368286,1.5757635831832886,0.3913673162460327,563620.0,7272192.0,1512072.0,36864.0,0.5927734375,167,,,,,,,,,,,,,,,
1.558469295501709,8,0.4322860836982727,0.431884765625,0.4449641704559326,1.558469295501709,0.42525622248649597,563620.0,7272192.0,1512072.0,36864.0,0.568115234375,188,,,,,,,,,,,,,,,
,,,,,,,,,,,,199,0.21474551412941925,,,,,,,,,,,,,,
,9,,,,,,,,,,,199,,1.588958740234375,1.588958740234375,0.41677138209342957,0.58935546875,0.41064453125,0.4024244248867035,0.41882506012916565,,,,,,,
1.4593679904937744,9,0.465126097202301,0.46533203125,0.47249528765678406,1.4593679904937744,0.4629034101963043,563620.0,7272192.0,1512072.0,36864.0,0.53466796875,209,,,,,,,,,,,,,,,
1.4181833267211914,10,0.4823121428489685,0.483154296875,0.4965251088142395,1.4181833267211914,0.4779534339904785,563620.0,7272192.0,1512072.0,36864.0,0.516845703125,230,,,,,,,,,,,,,,,
,,,,,,,,,,,,249,0.27060732936794507,,,,,,,,,,,,,,
,11,,,,,,,,,,,249,,1.4103913307189941,1.4103913307189941,0.47026389837265015,0.529296875,0.470703125,0.4643452763557434,0.46683913469314575,,,,,,,
1.4236257076263428,11,0.4900188148021698,0.48876953125,0.5142942070960999,1.4236257076263428,0.48426786065101624,563620.0,7272192.0,1512072.0,36864.0,0.51123046875,251,,,,,,,,,,,,,,,
1.317178726196289,12,0.5274548530578613,0.5263671875,0.5438931584358215,1.317178726196289,0.5264438390731812,563620.0,7272192.0,1512072.0,36864.0,0.4736328125,272,,,,,,,,,,,,,,,
1.3307321071624756,13,0.504706859588623,0.50634765625,0.5486241579055786,1.3307321071624756,0.49372488260269165,563620.0,7272192.0,1512072.0,36864.0,0.49365234375,293,,,,,,,,,,,,,,,
,,,,,,,,,,,,299,0.29838139759138516,,,,,,,,,,,,,,
,14,,,,,,,,,,,299,,1.3450782299041748,1.3450782299041748,0.5122408270835876,0.4931640625,0.5068359375,0.5016732811927795,0.5084136724472046,,,,,,,
1.2413012981414795,14,0.5475000739097595,0.546142578125,0.5608068704605103,1.2413012981414795,0.5430338978767395,563620.0,7272192.0,1512072.0,36864.0,0.453857421875,314,,,,,,,,,,,,,,,
